town,flat_type,floor_area_sqm,flat_model,price
ANG MO KIO,5 ROOM,123,Standard,666200
ANG MO KIO,5 ROOM,119,Improved,617004
ANG MO KIO,3 ROOM,82,New Generation,441631
ANG MO KIO,3 ROOM,67,New Generation,306862
ANG MO KIO,3 ROOM,67,New Generation,290838
ANG MO KIO,4 ROOM,92,New Generation,423730
ANG MO KIO,4 ROOM,92,New Generation,480943
ANG MO KIO,3 ROOM,75,New Generation,371075
ANG MO KIO,4 ROOM,92,New Generation,487349
ANG MO KIO,5 ROOM,136,Model A,747181
ANG MO KIO,3 ROOM,67,New Generation,335020
ANG MO KIO,4 ROOM,95,Model A,489189
ANG MO KIO,3 ROOM,68,New Generation,365848
ANG MO KIO,4 ROOM,92,New Generation,573937
ANG MO KIO,3 ROOM,68,New Generation,314042
ANG MO KIO,4 ROOM,92,New Generation,476086
ANG MO KIO,3 ROOM,74,New Generation,331157
ANG MO KIO,4 ROOM,92,New Generation,448766
ANG MO KIO,3 ROOM,68,New Generation,298471
ANG MO KIO,5 ROOM,134,Model A,759922
ANG MO KIO,5 ROOM,121,Improved,646261
ANG MO KIO,3 ROOM,68,New Generation,286946
ANG MO KIO,2 ROOM,44,Improved,151484
ANG MO KIO,3 ROOM,74,New Generation,446664
ANG MO KIO,5 ROOM,118,Improved,636472
ANG MO KIO,3 ROOM,88,New Generation,490280
ANG MO KIO,3 ROOM,67,New Generation,312186
ANG MO KIO,3 ROOM,67,New Generation,318380
ANG MO KIO,3 ROOM,68,New Generation,239082
ANG MO KIO,3 ROOM,68,New Generation,324460
ANG MO KIO,3 ROOM,73,New Generation,305704
ANG MO KIO,3 ROOM,67,New Generation,310973
ANG MO KIO,3 ROOM,68,New Generation,334892
ANG MO KIO,5 ROOM,135,Model A,708788
ANG MO KIO,3 ROOM,82,New Generation,389455
ANG MO KIO,3 ROOM,67,New Generation,287074
ANG MO KIO,3 ROOM,88,New Generation,420289
ANG MO KIO,4 ROOM,99,New Generation,499533
ANG MO KIO,3 ROOM,67,New Generation,347328
ANG MO KIO,4 ROOM,92,New Generation,491309
ANG MO KIO,3 ROOM,73,New Generation,373632
ANG MO KIO,4 ROOM,92,New Generation,462450
ANG MO KIO,3 ROOM,67,New Generation,299205
ANG MO KIO,4 ROOM,91,New Generation,493423
ANG MO KIO,5 ROOM,118,Improved,655319
ANG MO KIO,3 ROOM,67,New Generation,316861
ANG MO KIO,3 ROOM,70,Model A,315032
ANG MO KIO,3 ROOM,67,New Generation,293793
ANG MO KIO,3 ROOM,82,New Generation,394842
ANG MO KIO,4 ROOM,85,Model A,422850
ANG MO KIO,3 ROOM,67,New Generation,308016
ANG MO KIO,3 ROOM,67,New Generation,302014
ANG MO KIO,5 ROOM,110,Improved,628052
ANG MO KIO,3 ROOM,74,New Generation,359360
